time net_usedMbps avg_cpu dram_usedGB net_allocMbps dram_allocGB
1525221598.7715275 4400.0 4.75 17.802919936 32000 197.568495616
1525221599.7780375 2000.0 1.0 17.802919936 32000 197.568495616
1525221600.7851818 960.0 0.25 17.803116544 32000 197.568495616
1525221601.791881 0.0 0.0 17.803116544 32000 197.568495616
1525221602.7988975 0.0 0.0 17.803116544 32000 197.568495616
1525221603.805122 400.0 1.0 17.803116544 32000 197.568495616
1525221604.8123376 640.0 1.25 17.803313152 32000 197.568495616
1525221605.8190591 640.0 1.75 17.8044928 32000 197.568495616
1525221606.8256018 480.0 1.75 17.805541376 32000 197.568495616
1525221607.8316333 320.0 1.0 17.806065664 32000 197.568495616
1525221608.8382194 640.0 2.0 17.746231296 32000 197.568495616
1525221609.8445318 4400.0 13.25 17.746231296 32000 197.568495616
1525221610.850794 5200.0 13.0 17.746624512 32000 197.568495616
1525221611.8575819 3360.0 3.25 17.746624512 32000 197.568495616
1525221612.863923 2880.0 2.75 17.746624512 32000 197.568495616
1525221613.8715572 2000.0 2.5 17.746624512 32000 197.568495616
1525221614.8779607 2720.0 6.25 17.746624512 32000 197.568495616
1525221615.8856943 8240.0 11.25 17.747410944 32000 197.568495616
1525221616.8924904 7840.0 7.25 17.74780416 32000 197.568495616
1525221617.899468 1360.0 0.75 17.684430848 32000 197.568495616
1525221618.9058475 640.0 0.75 17.684627456 32000 197.568495616
1525221619.912541 2240.0 2.75 17.684824064 32000 197.568495616
1525221620.9190154 2960.0 4.5 17.684824064 32000 197.568495616
1525221621.9256191 4480.0 3.25 17.684824064 32000 197.568495616
1525221622.9327266 3920.0 1.25 17.684824064 32000 197.568495616
1525221623.9389234 1040.0 0.75 17.685086208 32000 197.568495616
1525221624.945955 560.0 0.75 17.68521728 32000 197.568495616
1525221625.95303 0.0 0.0 17.63180544 32000 197.568495616
1525221626.9596727 0.0 0.5 17.632198656 32000 197.568495616
1525221627.966253 560.0 1.25 17.63278848 32000 197.568495616
1525221628.9729984 960.0 0.75 17.633574912 32000 197.568495616
1525221629.979807 1680.0 1.25 17.634557952 32000 197.568495616
1525221630.9862208 1760.0 2.0 17.6357376 32000 197.568495616
1525221631.9924357 2080.0 3.0 17.635934208 32000 197.568495616
1525221632.9986095 1920.0 2.25 17.571119104 32000 197.568495616
1525221634.0054104 720.0 0.5 17.57151232 32000 197.568495616
1525221635.0117064 480.0 0.5 17.572298752 32000 197.568495616
1525221636.0177789 160.0 0.0 17.5734784 32000 197.568495616
1525221637.0242014 320.0 1.0 17.574264832 32000 197.568495616
1525221638.0305343 1040.0 1.75 17.574264832 32000 197.568495616
1525221639.0369802 1200.0 1.75 17.574264832 32000 197.568495616
1525221640.0429137 2640.0 4.25 17.574264832 32000 197.568495616
1525221641.04998 2960.0 3.5 17.574264832 32000 197.568495616
1525221642.0560412 2240.0 1.75 17.518231552 32000 197.568495616
1525221643.0628703 2160.0 2.25 17.518231552 32000 197.568495616
1525221644.0697982 3680.0 4.75 17.518231552 32000 197.568495616
1525221645.076527 4240.0 6.0 17.518493696 32000 197.568495616
1525221646.0832512 5120.0 7.25 17.5194112 32000 197.568495616
1525221647.0898352 4800.0 5.75 17.519607808 32000 197.568495616
1525221648.096372 1840.0 0.5 17.519869952 32000 197.568495616
1525221649.1031828 1600.0 0.75 17.520197632 32000 197.568495616
1525221650.1091535 2960.0 2.25 17.520984064 32000 197.568495616
1525221651.1154132 2480.0 1.5 17.52137728 32000 197.568495616
1525221652.121781 960.0 1.75 17.472684032 32000 197.568495616
1525221653.1278827 1440.0 2.75 17.47288064 32000 197.568495616
1525221654.1338625 2960.0 3.25 17.473077248 32000 197.568495616
1525221655.1402967 3040.0 3.25 17.473273856 32000 197.568495616
1525221656.1472127 2240.0 1.75 17.473273856 32000 197.568495616
1525221657.1536708 2320.0 1.5 17.473273856 32000 197.568495616
1525221658.1609373 4960.0 4.0 17.47386368 32000 197.568495616
1525221659.1679597 5920.0 7.5 17.47451904 32000 197.568495616
1525221660.1754262 8000.0 16.75 17.475436544 32000 197.568495616
1525221661.1818354 8400.0 14.0 17.476419584 32000 197.568495616
1525221662.1884193 8240.0 6.25 17.4129152 32000 197.568495616
